partner_code,car_number,maker,model_name,sub_model,trim_name,options,ext_color,int_color,year,mileage,fuel_type,policy_code,vehicle_status,product_type,vehicle_class,vehicle_price,first_registration_date,partner_memo,photo_link,rent_1,deposit_1,rent_12,deposit_12,rent_24,deposit_24,rent_36,deposit_36,rent_48,deposit_48,rent_60,deposit_60
RP005,101호7661,제네시스,GV80,GV80 JX1 20~,3.0D AWD 5인승,"파노라마썬루프,. 빌트인캠",그레이,브라운,,85500,디젤,,출고가능,중고렌트,,,21년2월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,,,,,,1400000,2000000,1350000,2000000,1300000,2000000,,2000000
RP005,101호7673,기아,K3,K3 BD 18~,1.6 가솔린 시그니처,"선루프 , 내비게이션",화이트,블랙,,59500,가솔린,,출고가능,중고렌트,,21971831,21년3월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://1drv.ms/f/s!Ah1ARYoI4_Fvht1zWQHrf3q5YjT8sg?e=ntWJ88,,,,,530000,550000,500000,550000,,550000,,550000
RP005,142호2088,기아,K8,더 뉴 K8 GL3 (페리) 24~,하이브리드 노블레스,"파노라마선루프 ,HUD,스타일II,드라이브와이즈",화이트,베이지,,28500,전기,,출고가능,중고렌트,,,24년11월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1JrQR4CLpfFYaRRGGoqip1vzWwJTNO0FM?usp=drive_link,,,,,1250000,1500000,1200000,1500000,1150000,1500000,1100000,1500000
RP005,142호3663,BMW,X4,X4 G02 18~,2.0D M Sport,-,화이트,블랙,,17500,디젤,,출고가능,중고렌트,,,24년 12월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1ZOJjxsiO3K90uBEt2264yQRmTGRL07N2?usp=drive_link,,,,,1800000,3000000,1700000,3000000,1600000,3000000,1500000,3000000
RP019,109허7712,현대,스타리아,스타리아 US4 21~,2.2 디젤 라운지 7인승 4WD 인스퍼레이션,"후석 전동식 사이드스텝(우측),듀얼와이드 선루프,컴포트2,BOSE프리미엄사운드,빌트인캠,트레일러패키지",블랙,블루,,10,디젤,,출고가능,신차렌트,,49480000,25-07,"보증금카드결제안됨/26세이하면책금30추가/운전경력증명서, 소득 확인 필수",https://drive.google.com/drive/folders/1IWvaouXXbUGYIAaKN1w01C1D_DS2x417?usp=drive_link,,,,,,2000000,1120000,2000000,1050000,2000000,1000000,2000000
RP019,109허7710,현대,스타리아,스타리아 US4 21~,2.2 디젤 라운지 7인승 4WD 인스퍼레이션,"빌트인캠, 듀얼와이드선루프, 컴포트2, BOSE프리미엄사운드",블랙,블루,,20000,디젤,,출고가능,중고렌트,,47460000,25-07,"보증금카드결제안됨/26세이하면책금30추가/운전경력증명서, 소득 확인 필수",https://drive.google.com/drive/folders/1F3CgU454xzVK76ckgOQx3TH3UiKNZcWv?usp=drive_link,,,,,,1500000,1020000,1500000,970000,1500000,920000,1500000
RP019,109허7711,현대,스타리아,스타리아 US4 21~,2.2 디젤 라운지 7인승 4WD 인스퍼레이션,"BOSE프리미엄사운드,컴포트2",블랙,블루,,7000,디젤,,출고가능,중고렌트,,45980000,25-07,"보증금카드결제안됨/26세이하면책금30추가/운전경력증명서, 소득 확인 필수",https://drive.google.com/drive/folders/1IWvaouXXbUGYIAaKN1w01C1D_DS2x417?usp=drive_link,,,,,,1500000,1000000,1500000,950000,1500000,900000,1500000
RP022,146하7568,기아,쏘렌토,더 뉴 쏘렌토 MQ4 (페리) 23~,HEV 2026년형 가솔린 1.6T HEV 2WD 5인승 프레스티지,"스타일, 드라이브 와이즈, 12.3인치 클러스터",화이트,브라운,,10,전기,,출고가능,신차렌트,,43680000,260227,면책금 30만 단독사고시 50만 / 후불,,,,,,,4368000,905100,4368000,851500,4368000,813600,4368000
RP022,146하7715,현대,싼타페,싼타페 MX5 23~,HEV 2026년형 가솔린 1.6 터보 2WD 5인승 프레스티지,헤드업디스플레이,화이트,블랙,,10,전기,,출고가능,신차렌트,,44810000,260317,면책금 30만 단독사고시 50만 / 후불,,,,,,,4481000,935600,4481000,877000,4481000,836000,4481000
RP022,146하7718,기아,스포티지,더 뉴 스포티지 NQ5 (페리) 24~,2026년형 가솔린 1.6 터보 2WD 노블레스,"드라이브 와이즈, 빌트인 캠 2, 모니터링",화이트,블랙,,10,가솔린,,출고가능,신차렌트,,35370000,260317,면책금 30만 단독사고시 50만 / 후불,https://drive.google.com/drive/folders/1WIhPaNy6skKX72NYm0hojxkkezahKU3T?usp=drive_link,,,,,,3537000,751300,3537000,707400,3537000,676400,3537000
